S1,S2,SCORE
The men are not climbing a mountain,The men are climbing a mountain,3.9
A man is hanging up the phone,A man is making a call on a cell phone,3.365
Someone is writing,Someone is typing on a keyboard,3
A man is rowing a boat,A man is shooting with a gun,1.6
Someone is typing on a keyboard,Somebody is typing on the keyboard,4.9
A man is pointing at a silver sedan,A lone man is in a parking lot and is playing tennis against a large wall,1.4
The man is playing the guitar,The person is playing the guitar,4.5
A man is putting vegetables into a pot,Vegetables are being put into a pot by a man,4.7
A man is strolling in the rain,A man and a woman are walking,2.3
A girl with red hair and red eyebrows is in midspeech,"The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back",3.2
The woman is not pouring oil into the pan,The boy is playing the piano,1
A boy is wearing all black and is sliding down a blow up yellow slide,A boy is wearing all black and is sliding down a blow up slide,4.3
The piece of paper is not being cut,Paper is being cut with scissors,3.5
The brown horse is far from a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,2.5
A chimp is angrily kicking a target,A chimp is missing the target,3.2
A cowboy is riding a horse and cornering a barrel,The brown horse is near a red barrel at the rodeo,3.7
A person is cooking some food,A person is peeling a potato,2.9
The man on stage is passionately singing into the microphone,The man on stage is singing into the microphone,4.6
A squirrel is crazily spinning around in circles,A squirrel is spinning around in circles,4.6
A girl is cutting butter into two pieces,Some sliced tofu is being eaten by a woman,1.5
Two children are lying in the snow and are making snow angels,There is no child lying in the snow and making snow angels,3.8
A child is sitting in a red and yellow toy car,The small girl is riding in the toy car,4.2
A young boy covered in grass is jumping near a wooden fence,A wet boy is jumping around on dirty and wet grass,3
A person is throwing a cat at the ceiling,A person is taking a cat down from the ceiling,3.1
A man is cutting a paper plate,The man is not cutting a paper plate,3.6
A soccer player is kicking a ball into the goal,A soccer ball is not rolling into a goal net,2.8
There is no woman breaking eggs in a bowl,Some ingredients are being mixed in a bowl by a person,3
The person is flying through the air on a bicycle,The person is flying through the air on the bicycle,4.8
The girl is riding the horse,The man is riding the horse,2.9
An oriental man and two women are in front of a camera,An oriental man and two women are facing a camera,4.4
The football is between the feet of a boy who is lying on the grass,The little kid is playing football and falling harmlessly into the grass,3.4
"Two men, a woman, and two young boys are standing in front of a large gathering of people outside a building",A crowd is posing for a large camera man in heavy clothing,2.2
A man is cutting a tree with an axe,A man is watering a tree,2.6
Two people are seated on a camel and another camel is in the foreground,People are riding two camels at the beach,4.1
The person is not standing on white ice,A woman is peeling a potato,1.2
Two men are standing together and one is looking through binoculars,Two men are looking out and one is holding a spyglass,3.3
A cat is playing with a small bottle,A cat is playing with a big bottle,3.5
A person is performing a trick on a surfboard in the water,A surfer is riding the wave,3.7
People are riding and paddling a raft,Some persons are riding and paddling a raft,4.8
A group of students in uniforms is listening attentively at the front of the class,A classroom full of students is looking in the same direction inside a bamboo structure,2.8
The man is not playing the guitar,The man is playing a guitar,4
The dog in the dyed red vest is running in the field,A dog with long hair and a red vest is running in the grass,4
A seabird is flying over some rocks,A large duck is perching over a rocky stream,3.3
A boy in a swimsuit is sitting on a circular fountain,A boy is standing next to the opening of a fountain,3.7
A man is skateboarding on a half pipe,The kids are playing outdoors near a man with a smile,1.6
The picture of a man is being taken near a lake,The man is setting up the camera and taking sunset pictures at the beach,2.7
Several people are crossing in line a bridge,Four people are walking on a bridge over a body of water,4.1
A camera is being hammered onto the nail by the man,The man is hammering a nail with a camera,4.3
A small boy is playing with a dog,The small boy is playing with the dog,5
The woman is poking a potato,A woman is putting a child in a waste bin,1.5
A woman is carefully applying cosmetics to her eyelid,A woman is using an eye pencil and is applying eye liner to her eyelid,4.3
There is no man singing and playing the guitar,A man is singing and playing the guitar,2.6
The woman and the man are travelling by car,The woman and the man are travelling by automobile,4.9
The black dog is walking through the tall grass,The black dog is not running through the grass,4.4
The kid is sliding in the snow,The kid is still in the snow,4.2
A woman is wearing an Egyptian headdress,The woman with a black hat is wearing sunglasses,2.3
There is no woman putting a child in a waste bin,A woman is putting a baby in a waste bin,4.1
The man is playing the guitar and has the guitar case open for donations,There is no man in a purple suit standing by a purple case and playing a guitar,3.4
The microphone in front of the talking parrot is being muted,A parrot is speaking,3.1
A boat's sail is being reflected by the peaceful water,A boat is sailing peacefully over the water,3.5
A person is not eating at a table,A person is making a bed,1.3
A man is drawing a picture,The person is drawing,4.6
A can is being bitten by a dog,A dog is opening a can of food,3.1
A man is opening a package that contains headphones,A man is opening a package that doesn't contain headphones,3.4
A dog is running up a grassy hill,A dog is running uphill,4.4
The man is cleaning the drawing on the board,The man is erasing the other man's work from the board,3.8
The man is slicing the potato,The man is wrapping a potato,3.6
The elderly lady is waiting on the sidewalk,The elderly person is waiting a lady on the sidewalk,3.6
